Time,TZ,BL1.5LBA50CF1oo2_2JT01TValue,BL1.5LBA50CF1oo2_1JT01TValue,BL1.5LBA50CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_2JT01TValue,BL1.5LBA60CF1oo2_1JT01TValue,BL1.4LBB10FP905_ZE02U,BL1.4LBB10FP905_ZE01U,BL1.4LBB10FT905_ZE01U,BL1.BOP_5MAC10CP001_AI_JT01TValue,BL1.BOP_5MAC10CT001_AI_JT01TValue,BL1.BOP_5MAC20CP001_AI_JT01TValue,BL1.BOP_5MAC20CT001_AI_JT01TValue,BL1.BOP_5MAC30CP001_AI_JT01TValue,BL1.BOP_5MAC30CT001_AI_JT01TValue,BL1.BOP_5MAC40CP001_AI_JT01TValue,BL1.BOP_5MAC40CT001_AI_JT01TValue,BL1.4MAC10FT950_ZE01U,BL1.4MAM10CP010_XE01U,BL1.5LCA10FP920_ZE02U
#!Units,,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,barg,Bar,deg C,bar,deg C,bar,deg C,bar,deg C,bar,deg C,deg C,barg,bara
#!Description,Time Zone Information,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,LPT Pressure Inlet Steam,LPT Pressure LP Inlet Steam,LPT Inlet Steam Temperature ,PRESSURE FROM EXHAUST LP TURBINE TO DEAERATOR,TEMPERATURE FROM EXHAUST LP TURBINE TO DEAERATOR,PRESSURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,TEMPERATURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,LP ST EXTRACTION TO LP PREHEATER 2 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 2 TEMPERATURE,LP ST EXTRACTION TO LP PREHEATER 1 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 1 TEMPERATURE,LPT Exhaust Temperature,Pressure Leak Off Steam,Condenser Pressure
08:00.0,+02:00,30.019,30.224,30.1215,29.3256,29.2572,29.3804,16.9302,16.9339,382.7858,9.9476,287.0443,3.6346,242.5926,0.6857,115.9118,-0.1886,75.2018,36.3271,-0.0424,0.0612
09:00.0,+02:00,30.0261,30.2113,30.1187,29.3128,29.2459,29.3634,16.9601,16.9646,383.2415,9.9679,285.9049,3.6438,242.6505,0.6885,116.0149,-0.1878,75.2474,36.3814,-0.0424,0.0612
10:00.0,+02:00,30.0133,30.2918,30.1525,29.2995,29.2077,29.3875,16.9673,16.97,383.2415,9.9723,284.7656,3.6457,242.7083,0.6889,116.0768,-0.1878,75.2799,36.3271,-0.0424,0.061
11:00.0,+02:00,30.0434,30.2498,30.1466,29.316,29.2374,29.4101,16.97,16.9727,382.7533,9.971,283.8053,3.6429,242.7083,0.688,116.0905,-0.188,75.2995,36.3271,-0.0424,0.061
12:00.0,+02:00,30.0102,30.2237,30.1169,29.2803,29.2513,29.3093,16.9863,16.9872,382.9486,9.9799,282.7962,3.6409,242.6736,0.6874,116.118,-0.1887,75.2474,36.338,-0.0424,0.0611
13:00.0,+02:00,30.0463,30.2739,30.1601,29.2562,29.2342,29.2781,16.9718,16.9736,382.7696,9.9704,284.0983,3.6304,242.5579,0.6836,116.0218,-0.1899,75.1367,36.2729,-0.0424,0.0609
14:00.0,+02:00,30.0333,30.3076,30.1704,29.2644,29.1632,29.3657,16.9972,16.9999,383.2741,9.9881,283.6588,3.6464,242.5347,0.6886,115.9393,-0.188,75.1953,36.2837,-0.0423,0.061
15:00.0,+02:00,30.0391,30.3148,30.1769,29.2606,29.205,29.2928,16.9999,17.0044,382.737,9.9913,282.6335,3.6581,242.6042,0.6927,116.008,-0.1867,75.3385,36.338,-0.0424,0.0611
16:00.0,+02:00,30.0519,30.2513,30.1516,29.2307,29.1472,29.3184,17.0017,17.0044,382.6882,9.9926,281.6243,3.6623,242.7315,0.6946,116.1042,-0.186,75.3971,36.338,-0.0423,0.0612
17:00.0,+02:00,29.9978,30.265,30.1314,29.2689,29.1833,29.3277,17.0044,17.0089,382.6719,9.9945,280.6966,3.6489,242.7894,0.6897,116.1592,-0.188,75.3581,36.338,-0.0425,0.0612
